Student_ID,Subject_key,ScoreTypeKey,Score,DateKey
396,1,1,76,20240802
6544,2,1,91,20240825
1277,4,1,92,20240628
686,6,1,40,20241004
10984,5,1,57,20240711
5235,5,1,91,20240519
146,6,1,89,20241105
11885,6,1,60,20241005
3222,4,1,95,20240425
1968,3,1,50,20250204
7201,2,1,68,20241214
2158,2,1,68,20241005
4713,4,1,97,20241011
394,5,1,74,20240613
7662,4,1,47,20241214
8590,1,1,45,20241012
1930,2,1,90,20240807
11362,1,1,70,20240415
3130,2,1,100,20240626
7004,3,1,53,20240411
4249,3,1,78,20240326
9311,1,1,100,20240726
5501,5,1,66,20250217
503,6,1,100,20241015
5393,1,1,100,20241229
12113,2,1,76,20240412
10295,6,1,44,20240701
5584,4,1,100,20240829
2502,2,1,86,20250124
2707,6,1,79,20250228
6883,5,1,46,20241220
8270,1,1,64,20250215
5363,2,1,100,20241225
323,6,1,100,20240630
4915,6,1,98,20250210
10408,1,1,100,20240508
8096,5,1,56,20241102
4091,5,1,72,20240802
2911,5,1,45,20250121
7992,3,1,96,20240730
5620,4,1,62,20240430
5675,6,1,62,20240911
11950,6,1,97,20240514
719,3,1,100,20240828
5436,5,1,41,20250131
1638,4,1,100,20240423
4441,3,1,45,20250307
2466,3,1,100,20241103
9377,2,1,48,20240627
10138,6,1,90,20250119
7820,3,1,88,20241103
5656,1,1,92,20240503
2080,4,1,90,20240810
5203,2,1,100,20241027
5366,4,1,61,20240806
690,3,1,81,20241115
6170,4,1,61,20240818
5994,1,1,98,20241218
11863,1,1,84,20240805
7165,1,1,53,20250226
9411,1,1,92,20241019
8666,1,1,99,20250228
11797,6,1,83,20240717
6634,2,1,47,20240810
984,6,1,50,20241203
1003,1,1,69,20240904
7786,2,1,100,20250218
355,4,1,87,20240611
6511,2,1,88,20241123
282,5,1,85,20240614
10169,6,1,50,20240315
5626,6,1,60,20241024
8874,1,1,58,20240918
5102,1,1,47,20240717
3146,5,1,56,20241004
733,4,1,100,20240821
3155,1,1,100,20241227
6351,5,1,91,20250217
9358,6,1,64,20240519
6469,2,1,81,20240327
10369,6,1,100,20240730
7619,5,1,85,20241010
403,2,1,94,20241208
923,4,1,74,20240926
10494,1,1,95,20250111
9844,1,1,95,20250107
5231,3,1,87,20240322
2564,3,1,52,20240326
8988,3,1,57,20241026
10680,2,1,72,20250222
6720,6,1,90,20250104
1503,6,1,85,20240508
5433,5,1,100,20250219
5632,4,1,100,20241101
1780,6,1,100,20241221
7918,4,1,96,20240407
11822,5,1,57,20241206
7478,5,1,54,20240611
6287,5,1,100,20240319
2366,4,1,72,20250109
2059,2,1,100,20240702
4934,5,1,74,20250121
2645,3,1,83,20240912
10225,4,1,75,20241112
8707,1,1,63,20240820
7173,3,1,44,20240418
5611,4,1,99,20250225
2289,5,1,57,20250107
11424,6,1,67,20240809
5037,5,1,49,20240509
8743,2,1,42,20240724
3226,2,1,87,20240528
8220,2,1,100,20241202
3617,3,1,100,20240710
5844,6,1,40,20241211
1904,1,1,53,20240509
3924,6,1,93,20241027
7153,1,1,79,20240322
9125,2,1,68,20250227
3383,2,1,58,20240407
9487,6,1,60,20241023
5876,6,1,84,20240413
3058,2,1,96,20240908
3644,1,1,88,20240623
11755,6,1,63,20240912
11383,4,1,41,20240324
7051,3,1,97,20240905
10964,2,1,41,20250216
3956,6,1,55,20240902
4375,6,1,62,20240904
7091,3,1,55,20240606
357,2,1,100,20240708
9672,3,1,49,20250119
6644,3,1,72,20250125
191,5,1,63,20250118
10604,2,1,50,20240608
1748,4,1,71,20240627
6170,2,1,63,20241021
549,4,1,69,20240915
1966,4,1,94,20240316
6061,1,1,72,20240626
5025,1,1,87,20240509
9432,1,1,59,20240730
2218,6,1,96,20250203
45,3,1,85,20241017
8529,2,1,60,20250203
8611,1,1,78,20240713
3883,2,1,58,20240713
3291,4,1,88,20240814
4877,2,1,85,20250121
9243,4,1,53,20240504
5373,6,1,100,20240331
4243,2,1,100,20240830
9275,4,1,61,20240310
6220,5,1,85,20241030
4635,5,1,40,20240524
3124,4,1,42,20241009
6944,5,1,59,20240511
538,4,1,43,20241219
3056,3,1,100,20241003
10087,5,1,100,20250208
4014,2,1,98,20250218
8136,1,1,91,20240713
4907,4,1,100,20240514
2390,5,1,90,20241128
10625,1,1,71,20241001
1951,2,1,62,20240715
10542,6,1,97,20240426
10748,6,1,82,20240401
6592,2,1,64,20240719
10919,3,1,87,20240915
4460,4,1,81,20240815
3618,6,1,100,20240819
7162,5,1,55,20240708
7707,6,1,100,20250227
5273,4,1,45,20250115
4397,1,1,87,20240918
862,5,1,63,20250110
3578,3,1,66,20240413
11021,6,1,84,20241121
7153,4,1,86,20241102
309,5,1,43,20240714
5947,5,1,67,20240411
11589,6,1,100,20250103
8813,3,1,82,20241109
3670,4,1,52,20240405
10490,1,1,100,20240810
6422,1,1,80,20240624
7869,4,1,75,20240506
8716,3,1,55,20240721
4648,6,1,83,20240928
4117,5,1,64,20240612
3310,5,1,100,20240809
1526,6,1,88,20250307
10484,5,1,78,20240324
2275,4,1,52,20241120
4409,2,1,99,20240402
4977,6,1,99,20240309
4215,5,1,96,20250111
9231,3,1,100,20240909
6417,4,1,70,20241214
8250,6,1,96,20240812
2153,3,1,84,20240820
9033,3,1,100,20240621
11290,2,1,78,20240821
8167,6,1,65,20240429
1556,4,1,100,20241105
10069,3,1,80,20241221
7228,6,1,69,20250306
1519,6,1,100,20240520
5011,1,1,100,20240406
9317,5,1,49,20250122
3684,2,1,100,20240705
4813,2,1,86,20240717
7983,3,1,100,20240331
47,6,1,58,20241025
4959,3,1,65,20240507
11357,1,1,71,20241105
3287,1,1,45,20240315
7962,2,1,92,20241025
8717,4,1,71,20250126
1286,6,1,100,20241027
9741,6,1,49,20241107
4809,5,1,68,20240329
8821,5,1,42,20240425
5893,1,1,70,20241004
396,1,1,85,20241026
11922,3,1,43,20241128
10032,1,1,79,20240724
11337,4,1,48,20240724
5222,1,1,90,20240323
8763,6,1,91,20241018
4122,2,1,40,20240413
8505,2,1,100,20240828
1223,2,1,74,20240711
420,3,1,79,20250122
2639,4,1,98,20240330
11645,1,1,94,20241003
135,4,1,87,20240426
9803,6,1,96,20241212
9875,2,1,85,20240502
6607,6,1,86,20250212
9270,2,1,69,20241120
10057,6,1,85,20240906
1574,2,1,91,20240314
8324,5,1,87,20250117
6103,6,1,43,20240528
3708,3,1,72,20240911
10792,1,1,95,20240623
6453,1,1,96,20240824
9628,3,1,54,20241030
2446,5,1,100,20240323
10111,5,1,78,20250101
8553,3,1,61,20240708
12136,6,1,41,20240319
5190,4,1,73,20240814
11590,3,1,44,20240809
4363,6,1,44,20240729
